Package,Dataset,Topic,Rows,Cols
datasets,crimtab,Student's 3000 Criminals Data,42,22
datasets,discoveries,Yearly Numbers of Important Discoveries,100,2
datasets,esoph,"Smoking, Alcohol and (O)esophageal Cancer",88,5
datasets,euro,Conversion Rates of Euro Currencies,11,1
datasets,faithful,Old Faithful Geyser Data,272,2
datasets,freeny,Freeny's Revenue Data,39,5
datasets,infert,Infertility after Spontaneous and Induced Abortion,248,8
datasets,iris,Edgar Anderson's Iris Data,150,5
datasets,islands,Areas of the World's Major Landmasses,48,1
datasets,lh,Luteinizing Hormone in Blood Samples,48,2
datasets,longley,Longley's Economic Regression Data,16,7
datasets,lynx,Annual Canadian Lynx trappings 1821-1934,114,2
datasets,morley,Michelson Speed of Light Data,100,3
datasets,mtcars,Motor Trend Car Road Tests,32,11
datasets,nhtemp,Average Yearly Temperatures in New Haven,60,2
datasets,nottem,"Average Monthly Temperatures at Nottingham, 1920-1939",240,2
datasets,npk,"Classical N, P, K Factorial Experiment",24,5
datasets,occupationalStatus,Occupational Status of Fathers and their Sons,8,8
datasets,precip,Annual Precipitation in US Cities,70,1
datasets,presidents,Quarterly Approval Ratings of US Presidents,120,2
datasets,pressure,Vapor Pressure of Mercury as a Function of Temperature,19,2
datasets,quakes,Locations of Earthquakes off Fiji,1000,5
datasets,randu,Random Numbers from Congruential Generator RANDU,400,3
datasets,rivers,Lengths of Major North American Rivers,141,1
datasets,rock,Measurements on Petroleum Rock Samples,48,4
datasets,sleep,Student's Sleep Data,20,3
datasets,stackloss,Brownlee's Stack Loss Plant Data,21,4
datasets,sunspot.month,"Monthly Sunspot Data, from 1749 to ""Present""",3177,2
datasets,sunspot.year,"Yearly Sunspot Data, 1700-1988",289,2
datasets,sunspots,"Monthly Sunspot Numbers, 1749-1983",2820,2
datasets,swiss,Swiss Fertility and Socioeconomic Indicators (1888) Data,47,6
datasets,treering,"Yearly Treering Data, -6000-1979",7980,2
datasets,trees,"Girth, Height and Volume for Black Cherry Trees",31,3
datasets,uspop,Populations Recorded by the US Census,19,2
datasets,volcano,Topographic Information on Auckland's Maunga Whau Volcano,87,61
datasets,warpbreaks,The Number of Breaks in Yarn during Weaving,54,3
datasets,women,Average Heights and Weights for American Women,15,2
dblcens,IVaids,Data: AIDS patient among IV drug user,232,7
depthTools,prost.x (prostate),Gene Expression Data from Tumoral and Normal Prostate Samples,50,100
DiagTest3Grp,AL,Alzheimer's disease neuropsychometric marker dataset,118,15
dinamic,wilms.markers,aCGH Marker Data from Natrajan et al. (2006),3288,3
dinamic,wilms.markers (dinamic),aCGH Marker Data from Natrajan et al. (2006),3288,3
dinamic,wilms.data,DNA Copy Number Data from Natrajan et al. (2006),97,3288
dinamic,wilms.data (dinamic),DNA Copy Number Data from Natrajan et al. (2006),97,3288
dinamic,annot.file (dinamic),A Cytoband Annotation Data Frame,811,4
dinamic,annot.file,A Cytoband Annotation Data Frame,811,4
diveRsity,Test_data,Example infile for diveRsity package,309,38
drfit,pyrithione,Cytotoxicity data for different pyrithionates and related species,1292,5
drfit,antifoul,Dose-Response data for TBT and Zink Pyrithione in IPC-81 cells,216,7
drfit,XY,Dose-Response data for two substances X and Y,30,6
drfit,IM1xVibrio,Dose-Response data for 1-methyl-3-alkylimidazolium tetrafluoroborates in V. fischeri,208,6
drfit,IM1xIPC81,Dose-Response data for 1-methyl-3-alkylimidazolium tetrafluoroborates in IPC-81 cells,999,5
drm,wheeze,Wheeze among Steubenville children,2148,4
drm,obese,Obesity among Muscatine children,5310,5
drm,movie,Movie reviews from a Variety magazine,372,3
drm,marijuana,Longitudinal data set on teenage marijuana use,1185,4
drm,madras,Madras Longitudinal Schizophrenia Study,1032,5
DSpat,weeds.obs,Observations from Dubbo weed data,479,4
DSpat,weeds.lines,Transect lines from Dubbo weed data,8,6
DSpat,weeds.covariates,Covariate grid for Dubbo weed data,14400,4
DSpat,weeds.all,Dubbo weed data with constructed y-coordinate,742,5
DSpat,weeds,Dubbo weed data,742,4
DSpat,DSpat.obs,Observation dataframe for DSpat,395,3
DSpat,DSpat.lines,Example DSpat lines dataframe,10,5
DSpat,DSpat.covariates,Raster covariates study area,10000,4
DTDA,Quasars,Quasars,210,3
DTDA,AIDS,Time to AIDS,258,3
DynClust,adu340_4small,Calcium-imaging dataset using Fura-2,50,50
dynCorr,dynCorrData,An example dataset for use in the example calls in the help files for the dynamicCorrelation and bootstrapCI functions,648,5
Ecdat,Yogurt,Choice of Brand for Yogurts,2412,10
Ecdat,Yen,Yen-dollar Exchange Rate,778,4
Ecdat,Workinghours,Wife Working Hours,3382,12
Ecdat,Wages1,"Wages, Experience and Schooling",3294,4
Ecdat,Wages,Panel Datas of Individual Wages,4165,12
Ecdat,VietNamI,Medical Expenses in Viet-nam (individual Level),27765,12
Ecdat,University,Provision of University Teaching and Research,62,17
Ecdat,Unemployment,Unemployment Duration,452,12
Ecdat,UnempDur,Unemployment Duration,3343,11
Ecdat,Tuna,Choice of Brand for Tuna,13705,8
Ecdat,Treatment,Evaluating Treatment Effect of Training on Earnings,2675,10
Ecdat,TranspEq,Statewide Data on Transportation Equipment Manufacturing,25,5
Ecdat,Train,Stated Preferences for Train Traveling,2929,11
Ecdat,Tobacco,Households Tobacco Budget Share,2724,9
Ecdat,Tbrate,"Interest Rate, GDP and Inflation",188,3
Ecdat,SumHes,The Penn Table,3250,7
Ecdat,StrikeNb,Number of Strikes in Us Manufacturing,108,3
Ecdat,StrikeDur,Strikes Duration,566,2
Ecdat,Strike,Strike Duration Data,62,2
Ecdat,Star,Effects on Learning of Small Class Sizes,5748,8
Ecdat,Somerville,Visits to Lake Somerville,659,8
Ecdat,Solow,Solow's Technological Change Data,41,3
Ecdat,Schooling,Wages and Schooling,3010,28
Ecdat,SP500,Returns on Standard & Poor's 500 Index,2783,1
Ecdat,RetSchool,Return to Schooling,5225,17
Ecdat,Produc,Us States Production,816,10
Ecdat,Pricing,Returns of Size-based Portfolios,418,12
Ecdat,Pound,Pound-dollar Exchange Rate,778,4
Ecdat,PatentsRD,"Patents, R&D and Technological Spillovers for a Panel of Firms",1629,7
Ecdat,PatentsHGH,Dynamic Relation Between Patents and R&D,1730,18
Ecdat,Participation,Labor Force Participation,872,7
Ecdat,PSID,Panel Survey of Income Dynamics,4856,8
Ecdat,PPP,Exchange Rates and Price Indices for France and Italy,186,5
Ecdat,PE,Price and Earnings Index,132,2
Ecdat,Orange,The Orange Juice Data Set,642,3
Ecdat,Oil,Oil Investment,53,11
Ecdat,OFP,Visits to Physician Office,4406,19
Ecdat,Nerlove,"Cost Function for Electricity Producers, 1955",159,8
Ecdat,NaturalPark,Willingness to Pay for the Preservation of the Alentejo Natural Park,312,7
Ecdat,MunExp,Municipal Expenditure Data,2385,5
Ecdat,Mroz,Labor Supply Data,753,18
Ecdat,Mpyr,"Money, National Product and Interest Rate",90,4
Ecdat,MoneyUS,Macroeconomic Series for the United States,164,5
Ecdat,Money,"Money, GDP and Interest Rate in Canada",128,4
Ecdat,Mofa,"International Expansion of U.S. Mofa's (majority-owned Foreign Affiliates in Fire (finance, Insurance and Real Estate)",50,5
Ecdat,ModeChoice,Data to Study Travel Mode Choice,840,7
Ecdat,Mode,Mode Choice,453,9
Ecdat,Mishkin,Inflation and Interest Rates,491,5
Ecdat,Metal,Production for SIC 33,27,3
Ecdat,MedExp (VietNamH),Structure of Demand for Medical Care,5574,15
Ecdat,MedExp,Structure of Demand for Medical Care,5574,15
Ecdat,Mathlevel,Level of Calculus Attained for Students Taking Advanced Micro-economics,609,8
Ecdat,ManufCost,Manufacturing Costs,25,9
Ecdat,Males,Wages and Education of Young Males,4360,12
Ecdat,Macrodat,Macroeconomic Time Series for the United States,168,7
Ecdat,MW,Growth of Disposable Income and Treasury Bill Rate,50,2
Ecdat,MCAS,The Massashusets Test Score Data Set,220,17
Ecdat,Longley,The Longley Data,16,4
Ecdat,Labour,Belgian Firms,569,4
Ecdat,LaborSupply,Wages and Hours Worked,5320,7
Ecdat,LT,Dollar Sterling Exchange Rate,200,3
Ecdat,Klein,Klein's Model I,22,9
Ecdat,Ketchup,Choice of Brand for Ketchup,4956,7
Ecdat,Kakadu,Willingness to Pay for the Preservation of the Kakadu National Park,1827,22
Ecdat,Journals,Economic Journals Dat Set,180,10
Ecdat,Irates,Monthly Interest Rates,531,10
Ecdat,IncomeUK,Seasonally Unadjusted Quarterly Data on Disposable Income and Expenditure,58,2
Ecdat,Icecream,Ice Cream Consumption,30,4
Ecdat,Hstarts (Intratesq),Housing Starts,168,2
Ecdat,Hstarts (Intratesm),Housing Starts,168,2
Ecdat,Hstarts,Housing Starts,168,2
Ecdat,Housing,Sales Prices of Houses in the City of Windsor,546,12
Ecdat,Hedonic,Hedonic Prices of Cencus Tracts in Boston,506,15
Ecdat,Heating,Heating System Choice in California Houses,900,21
Ecdat,Hdma,The Boston HDMA Data Set,2381,13
Ecdat,HI,Health Insurance and Hours Worked By Wives,22272,13
Ecdat,HC,Heating and Cooling System Choice in Newly Built Houses in California,250,18
Ecdat,Grunfeld,Grunfeld Investment Data,200,5
Ecdat,Griliches,Wage Datas,758,20
Ecdat,Gasoline,Gasoline Consumption,342,6
Ecdat,Garch,Daily Observations on Exchange Rates of the US Dollar Against Other Currencies,1867,8
Ecdat,FriendFoe,Data from the Television Game Show Friend Or Foe ?,227,13
Ecdat,Forward,Exchange Rates of US Dollar Against Other Currencies,276,9
Ecdat,Fishing,Choice of Fishing Mode,1182,12
Ecdat,Fatality,Drunk Driving Laws and Traffic Deaths,336,10
Ecdat,Fair,Extramarital Affairs Data,601,9
Ecdat,Electricity,Cost Function for Electricity Producers,158,8
Ecdat,Earnings,Earnings for Three Age Groups,4266,2
Ecdat,DoctorContacts,Contacts With Medical Doctor,20186,15
Ecdat,DoctorAUS,Doctor Visits in Australia,5190,15
Ecdat,Doctor,Number of Doctor Visits,485,4
Ecdat,Diamond,Pricing the C's of Diamond Stones,308,5
Ecdat,DM,DM Dollar Exchange Rate,778,4
Ecdat,Crime,Crime in North Carolina,630,24
Ecdat,Cracker,Choice of Brand for Crakers,3292,14
Ecdat,Consumption,Quarterly Data on Consumption and Expenditure,200,2
Ecdat,Computers,Prices of Personal Computers,6259,10
Ecdat,Clothing,Sales Data of Men's Fashion Stores,400,13
Ecdat,Cigarette,The Cigarette Consumption Panel Data Set,528,9
Ecdat,Cigar,Cigarette Consumption,1380,9
Ecdat,Catsup,Choice of Brand for Catsup,2798,14
Ecdat,Caschool,The California Test Score Data Set,420,17
Ecdat,Car,Stated Preferences for Car Choice,4654,70
Ecdat,Capm,Stock Market Data,516,5
Ecdat,CRSPmon,Monthly Returns from the CRSP Database,360,4
Ecdat,CRSPday,Daily Returns from the CRSP Database,2528,7
Ecdat,CPSch3,Earnings from the Current Population Survey,11130,3
Ecdat,Bwages,Wages in Belgium,1472,4
Ecdat,BudgetUK,Budget Shares of British Households,1519,10
Ecdat,BudgetItaly,Budget Shares for Italian Households,1729,11
Ecdat,BudgetFood,Budget Share of Food for Spanish Households,23972,6
Ecdat,Bids,Bids Received By U.S. Firms,126,12
Ecdat,Benefits,Unemployement of Blue Collar Workers,4877,18
Ecdat,Airq,Air Quality for Californian Metropolitan Areas,30,6
Ecdat,Airline,Cost for U.S. Airlines,90,6
Ecdat,Accident,Ship Accidents,40,5
Ecdat,Benefits,Unemployment of Blue Collar Workers,4877,18
Ecdat,CRANpackages,Growth of CRAN,29,4
Ecdat,Clothing,Sales Data of Men's Fashion Stores,60,8
Ecdat,HHSCyberSecurityBreaches,Cybersecurity breaches reported to the US Department of Health and Human Services,1151,9
Ecdat,Hdma,The Boston HMDA Data Set,2381,13
Ecdat,Hedonic,Hedonic Prices of Census Tracts in Boston,506,15
Ecdat,Hmda,The Boston HMDA Data Set,2381,13
Ecdat,Klein,Klein's Model I,22,10
Ecdat,MCAS,The Massachusetts Test Score Data Set,220,17
Ecdat,Produc,Us States Production,816,11
Ecdat,USFinanceIndustry,US Finance Industry Profits,84,7
Ecdat,USGDPpresidents,US GDP per capita with presidents and wars,259,12
Ecdat,USclassifiedDocuments,Official Secrecy of the United States Government,29,5
Ecdat,USstateAbbreviations,Standard abbreviations for states of the United States,76,10
Ecdat,UStaxWords,Number of Words in US Tax Law,7,10
Ecdat,VietNamH,Medical Expenses in Viet-nam (household Level),5999,11
Ecdat,bankingCrises,Countries in Banking Crises,211,71
Ecdat,breaches,Cyber Security Breaches,1055,13
Ecdat,incidents.byCountryYr,Global Terrorism Database yearly summaries,206,45
Ecdat,incomeInequality,Income Inequality in the US,66,22
Ecdat,nkill.byCountryYr,Global Terrorism Database yearly summaries,206,45
Ecdat,nonEnglishNames,Names with Character Set Problems,11,2
Ecdat,politicalKnowledge,Political knowledge in the US and Europe,4,12
Ecdat,terrorism,Global Terrorism Database yearly summaries,46,25
eha,swe07,"Swedish population and deaths in ages 61-80, 2007.",40,5
eha,scania,"Old age mortality, Scania, southern Sweden, 1813-1894.",1931,9
eha,oldmort,"Old age mortality, Sundsvall, Sweden, 1860-1880.",6495,13
eha,mort,"Male mortality in ages 40-60, nineteenth century",1208,6
eha,male.mortality,"Male mortality in ages 40-60, nineteenth century",1208,6
eha,logrye,"Rye prices, Scania, southern Sweden, 1801-1894.",94,2
eha,infants,"Infant mortality and maternal death, Sweeden 1821-1894.",105,11
eha,fert,Marital fertility nineteenth century,12169,9
el.convex,dataset,dataset simulated using the procedure described in the reference,1000,4
elec,yolo,"Yolo County, CA Election Data",114,8
elec,santa.cruz.audit,Santa Cruz Election Data,16,4
elec,santa.cruz,Santa Cruz Election Data,152,5
elec,marin,Marin Measure B Reported Results,544,5
EMD,lennon,Gray John Lennon image,256,256
EMD,lena,Gray Lena image,512,512
EngrExpt,yield,Yield of a chemical process,20,3
EngrExpt,yellow,Initial and 1 month color measure of coated lens,23,2
EngrExpt,whitearea,Comparison of mixing processes,48,2
EngrExpt,weight,Weight plastic bags held before breaking,43,1
EngrExpt,webvisit,Web site visits over a 3-week period,21,1
EngrExpt,webtraff,Web site traffic during a marketing campaign,10,2
EngrExpt,water,Bacteria concentrations in water samples,50,1
EngrExpt,wash,Appearance of washed and unwashed panels,36,3
EngrExpt,vitamin,Calcium levels before and after vitamin supplement,49,3
EngrExpt,viscosity,Time to gelling of paint samples,17,1
EngrExpt,uvoven,UV absorbance for lens cured in different ovens,60,2
EngrExpt,uvcoatin,Comparison of eyeglass ultra-violet coatings,10,3
EngrExpt,urine,Mercury level in employee urine samples,12,5
EngrExpt,tpaste,Turbidity of a toothpaste formulation,8,4
EngrExpt,timetemp,Time to nominal temperature,24,3
EngrExpt,thinfilm,Strength of thin film coatings,30,3
EngrExpt,tensile,Tensile breaking strength of steel samples,18,1
EngrExpt,tennis,Durability of tennis ball covers,20,2
EngrExpt,temprate,Effect of water bath on moisture content,12,3
EngrExpt,tablets,Lifetime of chlorine tablets,30,2
EngrExpt,surfarea,Surface area of silica,32,1
EngrExpt,stretch,Stretch of hot pizza cheese,30,3
EngrExpt,stab,Stability of a chemical product,12,4
EngrExpt,soap,Soap sales by packaging type,5,3
EngrExpt,separate,Electrical resistance of battery separators,24,4
EngrExpt,sarea,Surface area of silica,12,3
EngrExpt,sales,Sales versus capital expenditure,48,3
EngrExpt,safety,Safety violations over time,30,4
EngrExpt,reflect,Anti-reflective coating measurements,8,5
EngrExpt,ratings2,Product ratings and moisture content,26,2
EngrExpt,ratings,Ratings of raw materials,26,1
EngrExpt,railcar3,Moisture level versus type of rail car,17,2
EngrExpt,railcar2,Rail car hold times,43,1
EngrExpt,railcar,Rail car hold times,53,1
EngrExpt,purity,Purity of product from a filtration process,12,4
EngrExpt,protein,Assay of protein in blood,54,5
EngrExpt,pigment,Yellowing of paint for different pigments,9,3
EngrExpt,phmeas,Comparison of instruments to measure pH,11,2
EngrExpt,ph,pH measurements in a chemical process,35,2
EngrExpt,oven,Drying of silica,30,3
EngrExpt,odor,"Odor, yellowing and hardness of optical coating",35,3
EngrExpt,mw,Appearance measure of paint,32,6
EngrExpt,moisture,Moisture content of a silica product,8,5
EngrExpt,lwsw,Appearance measures of automotive paints,13,2
EngrExpt,lw,Automotive paint formulation,24,3
EngrExpt,labcomp,Inter-lab study,28,3
EngrExpt,gloss,Gloss of paint on cars,40,2
EngrExpt,fluoride,Fluoride levels from water sources,58,2
EngrExpt,fish2,Toxin concentrations in fish by site,17,2
EngrExpt,fish,Toxin concentrations in fish by site,16,2
EngrExpt,fillweight,Fill weight by batch,20,3
EngrExpt,fill,Fill amount in tamped cylinders,18,3
EngrExpt,fbuild,Appearance for film builds,9,2
EngrExpt,exposure,Appearance of panels after exposure to weather,36,2
EngrExpt,epoxy,Effect of epoxy level on appearance,10,2
EngrExpt,dry,Moisture content after drying,16,3
EngrExpt,drums,Weights of drums before and after filling,30,3
EngrExpt,drought,Water usage in 2001 and 2002,5,3
EngrExpt,diameter,Diameter of product,20,2
EngrExpt,diagnostic,Consistency of diagnostic kits,16,2
EngrExpt,dhaze,Haze of lenses after abrasion,28,2
